(-0.02, -0.07, 1.00)
(-0.02, -0.06, 1.00)
(-0.01, 0.03, 1.00)
(-0.01, 0.03, 1.00)
(-0.01, 0.03, 1.00)
(-0.01, 0.03, 1.00)
(-0.01, 0.03, 1.00)
(-0.01, 0.03, 1.00)
(-0.01, 0.03, 1.00)
(-0.19, 0.04, 0.98)
(-0.19, 0.04, 0.98)
(-0.19, 0.04, 0.98)
(-0.19, 0.04, 0.98)
(-0.19, 0.04, 0.98)
(-0.19, 0.04, 0.98)
(-0.19, 0.04, 0.98)
(-0.19, 0.04, 0.98)
(-0.19, 0.04, 0.98)
(-0.19, 0.04, 0.98)
(-0.19, 0.04, 0.98)
(-0.19, 0.04, 0.98)
(-0.19, 0.04, 0.98)
(-0.19, 0.04, 0.98)
(-0.19, 0.04, 0.98)
(-0.19, 0.04, 0.98)
(-0.19, 0.04, 0.98)
(-0.19, 0.04, 0.98)
(-0.19, 0.04, 0.98)
(-0.19, 0.04, 0.98)
(-0.19, 0.04, 0.98)
(-0.19, 0.04, 0.98)
(-0.19, 0.05, 0.98)
(-0.19, 0.05, 0.98)
(-0.19, 0.05, 0.98)
(-0.19, 0.05, 0.98)
(-0.19, 0.05, 0.98)
(-0.19, 0.05, 0.98)
(-0.19, 0.05, 0.98)
(-0.19, 0.05, 0.98)
(-0.19, 0.05, 0.98)
(-0.19, 0.05, 0.98)
(-0.19, 0.05, 0.98)
(-0.19, 0.05, 0.98)
(-0.19, 0.05, 0.98)
(-0.19, 0.06, 0.98)
(-0.19, 0.06, 0.98)
(-0.19, 0.06, 0.98)
(-0.19, 0.06, 0.98)
(-0.20, 0.04, 0.98)
(-0.20, 0.02, 0.98)
(-0.20, 0.01, 0.98)
(-0.20, 0.01, 0.98)
(-0.20, 0.01, 0.98)
(-0.20, 0.01, 0.98)
(-0.20, 0.01, 0.98)
(-0.20, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.01, 0.98)
(-0.20, 0.02, 0.98)
(-0.20, 0.01, 0.98)
(-0.20, 0.02, 0.98)
(-0.20, 0.02, 0.98)
(-0.20, 0.03, 0.98)
(-0.20, 0.03, 0.98)
(-0.21, 0.05, 0.98)
(-0.21, 0.07, 0.97)
(-0.20, -0.06, 0.98)
(-0.19, -0.04, 0.98)
(-0.20, 0.02, 0.98)
(-0.20, 0.01, 0.98)
(-0.18, 0.05, 0.98)
(-0.21, 0.01, 0.98)
(-0.18, 0.01, 0.98)
(-0.20, 0.01, 0.98)
(-0.20, 0.00, 0.98)
(-0.20, 0.03, 0.98)
(-0.21, 0.03, 0.98)
(-0.21, 0.03, 0.98)
(-0.22, -0.04, 0.97)
(-0.22, -0.01, 0.98)
(-0.22, 0.01, 0.98)
(-0.22, 0.03, 0.98)
(-0.22, 0.02, 0.98)
(-0.22, 0.04, 0.98)
(-0.21, 0.02, 0.98)
(-0.21, 0.04, 0.98)
(-0.21, 0.02, 0.98)
(-0.21, 0.02, 0.98)
(-0.21, 0.02, 0.98)
(-0.21, 0.02, 0.98)
(-0.21, 0.02, 0.98)
(-0.20, 0.02, 0.98)
(-0.20, 0.02, 0.98)
(-0.20, 0.02, 0.98)
(-0.20, 0.02, 0.98)
(-0.21, 0.02, 0.98)
(-0.21, 0.02, 0.98)
(-0.21, 0.02, 0.98)
(-0.21, 0.01, 0.98)
(-0.21, 0.02, 0.98)
(-0.21, 0.02, 0.98)
(-0.21, 0.03, 0.98)
(-0.21, 0.03, 0.98)
(-0.21, 0.03, 0.98)
(-0.21, 0.03, 0.98)
(-0.21, 0.03, 0.98)
(-0.20, 0.03, 0.98)
(-0.20, 0.02, 0.98)
(-0.20, 0.02, 0.98)
(-0.20, 0.02, 0.98)
(-0.20, 0.03, 0.98)
(-0.20, 0.03, 0.98)
(-0.20, 0.03, 0.98)
(-0.20, 0.03, 0.98)
(-0.20, 0.03, 0.98)
(-0.20, 0.02, 0.98)
(-0.20, 0.02, 0.98)
(-0.20, 0.03, 0.98)
(-0.20, 0.03, 0.98)
(-0.20, 0.03, 0.98)
(-0.20, 0.03, 0.98)
(-0.20, 0.03, 0.98)
(-0.20, 0.03, 0.98)
(-0.20, 0.03, 0.98)
(-0.20, 0.03, 0.98)
(-0.20, 0.03, 0.98)
(-0.20, 0.03, 0.98)
(-0.20, 0.03, 0.98)
(-0.20, 0.03, 0.98)
(-0.20, 0.03, 0.98)
(-0.20, 0.03, 0.98)
(-0.20, 0.04, 0.98)
(-0.20, 0.04, 0.98)
(-0.20, 0.04, 0.98)
(-0.20, 0.04, 0.98)
(-0.20, 0.04, 0.98)
(-0.20, 0.04, 0.98)
(-0.20, 0.04, 0.98)
(-0.20, 0.04, 0.98)
(-0.20, 0.04, 0.98)
