(-0.11, 0.09, 0.96)
(-0.10, 0.11, 0.96)
(0.10, 0.35, 0.90)
(0.09, 0.34, 0.91)
(0.08, 0.34, 0.91)
(0.08, 0.34, 0.91)
(0.08, 0.34, 0.91)
(0.08, 0.34, 0.91)
(0.08, 0.34, 0.91)
(0.09, 0.34, 0.91)
(0.08, 0.34, 0.91)
(0.09, 0.34, 0.91)
(0.09, 0.34, 0.91)
(0.09, 0.34, 0.91)
(0.09, 0.34, 0.91)
(0.10, 0.34, 0.91)
(0.11, 0.34, 0.91)
(0.08, 0.34, 0.91)
(0.05, 0.32, 0.92)
(-0.03, 0.31, 0.92)
(-0.07, 0.31, 0.92)
(-0.10, 0.30, 0.92)
(-0.08, 0.31, 0.92)
(-0.08, 0.31, 0.92)
(-0.07, 0.31, 0.92)
(-0.05, 0.31, 0.92)
(-0.05, 0.31, 0.92)
(-0.04, 0.31, 0.92)
(-0.03, 0.30, 0.92)
(-0.03, 0.30, 0.92)
(-0.02, 0.31, 0.92)
(0.01, 0.32, 0.92)
(0.01, 0.32, 0.92)
(0.01, 0.31, 0.92)
(0.02, 0.31, 0.92)
(0.03, 0.32, 0.92)
(0.04, 0.32, 0.92)
(0.04, 0.31, 0.92)
(0.05, 0.31, 0.92)
(0.05, 0.33, 0.92)
(0.05, 0.33, 0.92)
(0.06, 0.32, 0.92)
(0.06, 0.32, 0.92)
(0.06, 0.32, 0.92)
(0.06, 0.31, 0.92)
(0.06, 0.31, 0.92)
(0.06, 0.31, 0.92)
(0.06, 0.30, 0.92)
(0.06, 0.30, 0.92)
(0.06, 0.31, 0.92)
(0.05, 0.29, 0.93)
(0.06, 0.29, 0.93)
(0.05, 0.28, 0.93)
(0.04, 0.27, 0.93)
(0.04, 0.27, 0.93)
(0.03, 0.27, 0.93)
(0.03, 0.26, 0.94)
(0.02, 0.26, 0.94)
(0.01, 0.25, 0.94)
(0.06, 0.29, 0.93)
(0.10, 0.31, 0.92)
(0.15, 0.31, 0.91)
(0.19, 0.35, 0.89)
(0.22, 0.38, 0.87)
(0.24, 0.37, 0.86)
(0.29, 0.38, 0.85)
(0.31, 0.39, 0.84)
(0.36, 0.37, 0.82)
(0.35, 0.38, 0.82)
(0.34, 0.36, 0.84)
(0.29, 0.34, 0.86)
(0.28, 0.34, 0.86)
(0.27, 0.33, 0.87)
(0.26, 0.32, 0.88)
(0.24, 0.30, 0.89)
(0.21, 0.34, 0.88)
(0.20, 0.35, 0.89)
(0.18, 0.34, 0.89)
(0.17, 0.34, 0.90)
(0.15, 0.34, 0.90)
(0.14, 0.33, 0.90)
(0.13, 0.34, 0.90)
(0.11, 0.35, 0.90)
(0.10, 0.34, 0.91)
(0.10, 0.35, 0.90)
(0.13, 0.36, 0.89)
(0.17, 0.38, 0.88)
(0.20, 0.41, 0.86)
(0.21, 0.41, 0.85)
(0.20, 0.42, 0.85)
(0.20, 0.44, 0.84)
(0.20, 0.45, 0.83)
(0.18, 0.44, 0.84)
(0.18, 0.46, 0.84)
(0.17, 0.46, 0.84)
(0.16, 0.45, 0.85)
(0.14, 0.44, 0.86)
(0.15, 0.44, 0.85)
(0.15, 0.44, 0.85)
(0.14, 0.44, 0.86)
(0.14, 0.43, 0.86)
(0.14, 0.44, 0.86)
(0.13, 0.42, 0.87)
(0.12, 0.45, 0.86)
(0.12, 0.48, 0.84)
(0.10, 0.51, 0.82)
(0.07, 0.53, 0.81)
(0.07, 0.54, 0.81)
(0.02, 0.58, 0.78)
(0.03, 0.60, 0.77)
(0.02, 0.60, 0.76)
(0.01, 0.60, 0.77)
(0.01, 0.59, 0.77)
(-0.01, 0.63, 0.75)
(0.00, 0.59, 0.78)
(0.01, 0.60, 0.77)
(0.02, 0.60, 0.77)
(0.01, 0.59, 0.78)
(0.01, 0.58, 0.79)
(0.02, 0.58, 0.79)
(0.01, 0.57, 0.79)
(0.01, 0.57, 0.79)
(0.01, 0.57, 0.79)
(0.01, 0.56, 0.80)
(0.01, 0.56, 0.80)
(0.01, 0.55, 0.81)
(0.02, 0.53, 0.81)
(0.03, 0.50, 0.83)
(0.02, 0.48, 0.85)
(0.02, 0.49, 0.84)
(0.03, 0.52, 0.83)
(0.00, 0.56, 0.80)
(0.01, 0.54, 0.81)
(1.00, -1.00, -1.00)
(1.00, -1.00, -1.00)
(1.00, -1.00, -1.00)
(1.00, -1.00, -1.00)
(1.00, -1.00, -1.00)
(1.00, -1.00, -1.00)
(-0.09, 0.54, 0.81)
(-0.08, 0.56, 0.80)
(-0.08, 0.54, 0.81)
(-0.08, 0.55, 0.81)
(-0.08, 0.52, 0.82)
(-0.07, 0.52, 0.82)
(-0.09, 0.52, 0.82)
(-0.09, 0.52, 0.82)
(-0.08, 0.52, 0.82)
(-0.08, 0.51, 0.83)
(-0.08, 0.51, 0.83)
(-0.08, 0.51, 0.83)
(-0.08, 0.52, 0.82)
(-0.07, 0.52, 0.82)
(-0.08, 0.51, 0.83)
(-0.08, 0.53, 0.81)
(-0.08, 0.53, 0.81)
(-0.10, 0.53, 0.82)
(-0.09, 0.53, 0.82)
(-0.09, 0.52, 0.82)
(-0.09, 0.52, 0.82)
(-0.09, 0.51, 0.82)
(-0.10, 0.52, 0.82)
(-0.09, 0.51, 0.83)
(-0.08, 0.48, 0.85)
(-0.07, 0.48, 0.85)
(-0.07, 0.48, 0.85)
(-0.07, 0.53, 0.82)
(-0.09, 0.53, 0.81)
(-0.08, 0.54, 0.81)
(-0.07, 0.53, 0.82)
(-0.06, 0.52, 0.83)
(-0.07, 0.52, 0.83)
(-0.07, 0.53, 0.82)
(-0.07, 0.53, 0.82)
(-0.06, 0.52, 0.82)
(-0.09, 0.57, 0.79)
(-0.09, 0.56, 0.79)
(-0.09, 0.56, 0.80)
(-0.09, 0.55, 0.80)
(-0.10, 0.55, 0.80)
(-0.09, 0.55, 0.80)
(-0.08, 0.53, 0.81)
(-0.07, 0.51, 0.83)
(-0.07, 0.51, 0.83)
(-0.04, 0.54, 0.81)
(-0.05, 0.57, 0.79)
(-0.06, 0.59, 0.78)
(-0.07, 0.58, 0.78)
(-0.06, 0.57, 0.79)
(-0.07, 0.56, 0.80)
(-0.08, 0.56, 0.79)
(-0.07, 0.58, 0.79)
(-0.07, 0.57, 0.79)
(-0.05, 0.56, 0.80)
(-0.06, 0.56, 0.80)
(-0.06, 0.55, 0.80)
(-0.04, 0.54, 0.81)
(-0.05, 0.53, 0.82)
(-0.06, 0.53, 0.82)
(-0.05, 0.51, 0.83)
(-0.06, 0.54, 0.81)
(-0.06, 0.51, 0.83)
(-0.06, 0.49, 0.84)
(-0.05, 0.51, 0.83)
(-0.06, 0.52, 0.82)
(-0.07, 0.56, 0.80)
(-0.05, 0.57, 0.79)
(-0.04, 0.57, 0.79)
(-0.04, 0.57, 0.79)
(-0.04, 0.56, 0.80)
(-0.04, 0.56, 0.80)
(-0.03, 0.54, 0.81)
(-0.05, 0.53, 0.81)
(-0.05, 0.53, 0.82)
(-0.05, 0.53, 0.82)
(-0.05, 0.54, 0.81)
(-0.05, 0.53, 0.81)
(-0.04, 0.52, 0.83)
(-0.04, 0.51, 0.83)
(-0.04, 0.52, 0.82)
(-0.04, 0.52, 0.82)
(-0.04, 0.54, 0.81)
(-0.04, 0.55, 0.81)
(-0.04, 0.55, 0.81)
(-0.05, 0.55, 0.81)
(-0.05, 0.54, 0.81)
(-0.05, 0.54, 0.81)
(-0.05, 0.54, 0.81)
(-0.05, 0.54, 0.81)
(-0.05, 0.54, 0.81)
(-0.06, 0.56, 0.79)
(-0.06, 0.56, 0.80)
(-0.05, 0.56, 0.80)
(-0.06, 0.55, 0.80)
(-0.05, 0.55, 0.81)
(-0.05, 0.55, 0.80)
(-0.06, 0.56, 0.80)
(-0.06, 0.55, 0.80)
(-0.06, 0.56, 0.80)
(-0.07, 0.56, 0.80)
(-0.07, 0.56, 0.80)
(-0.07, 0.56, 0.80)
(-0.08, 0.56, 0.80)
(-0.07, 0.56, 0.80)
(-0.08, 0.55, 0.80)
(-0.07, 0.55, 0.80)
(-0.07, 0.54, 0.81)
(-0.08, 0.55, 0.80)
(-0.07, 0.54, 0.81)
(-0.07, 0.54, 0.81)
(-0.08, 0.54, 0.81)
(-0.08, 0.54, 0.81)
(-0.08, 0.54, 0.81)
(-0.08, 0.54, 0.81)
(-0.08, 0.54, 0.81)
(-0.08, 0.54, 0.81)
(-0.08, 0.54, 0.81)
(-0.08, 0.53, 0.81)
(-0.08, 0.53, 0.81)
(-0.08, 0.53, 0.82)
(-0.08, 0.52, 0.82)
(-0.08, 0.52, 0.82)
(-0.08, 0.52, 0.82)
(-0.09, 0.52, 0.82)
(-0.09, 0.52, 0.82)
(-0.09, 0.53, 0.82)
(-0.09, 0.54, 0.81)
(-0.09, 0.54, 0.81)
(-0.09, 0.54, 0.81)
(-0.08, 0.54, 0.81)
(-0.08, 0.54, 0.81)
(-0.08, 0.54, 0.81)
(-0.05, 0.51, 0.83)
(-0.05, 0.51, 0.83)
(-0.06, 0.52, 0.83)
(-0.05, 0.51, 0.83)
(-0.06, 0.51, 0.83)
(-0.06, 0.51, 0.83)
(-0.06, 0.52, 0.83)
(-0.07, 0.53, 0.82)
(-0.06, 0.54, 0.81)
(-0.08, 0.51, 0.83)
(-0.06, 0.53, 0.81)
(-0.05, 0.48, 0.84)
(-0.03, 0.53, 0.82)
(-0.03, 0.51, 0.83)
(-0.01, 0.51, 0.83)
(1.00, -1.00, -1.00)
(1.00, -1.00, -1.00)
(1.00, -1.00, -1.00)
(1.00, -1.00, -1.00)
(1.00, -1.00, -1.00)
(1.00, -1.00, -1.00)
(1.00, -1.00, -1.00)
(1.00, -1.00, -1.00)
(1.00, -1.00, -1.00)
(1.00, -1.00, -1.00)
(1.00, -1.00, -1.00)
(1.00, -1.00, -1.00)
(1.00, -1.00, -1.00)
(1.00, -1.00, -1.00)
(1.00, -1.00, -1.00)
(1.00, -1.00, -1.00)
(1.00, -1.00, -1.00)
(1.00, -1.00, -1.00)
(1.00, -1.00, -1.00)
(1.00, -1.00, -1.00)
(1.00, -1.00, -1.00)
(1.00, -1.00, -1.00)
(1.00, -1.00, -1.00)
(1.00, -1.00, -1.00)
(1.00, -1.00, -1.00)
(1.00, -1.00, -1.00)
(1.00, -1.00, -1.00)
(1.00, -1.00, -1.00)
(1.00, -1.00, -1.00)
(0.05, 0.18, 0.95)
(0.05, 0.20, 0.95)
(0.03, 0.20, 0.95)
(0.04, 0.13, 0.96)
(0.04, 0.12, 0.96)
(0.02, 0.11, 0.97)
(0.03, 0.09, 0.97)
(0.02, 0.07, 0.97)
(0.02, 0.05, 0.97)
(0.06, -0.04, 0.97)
(0.06, -0.02, 0.97)
(0.05, -0.04, 0.97)
(0.04, 0.00, 0.97)
(0.03, 0.01, 0.97)
(0.04, 0.01, 0.97)
(0.05, 0.04, 0.97)
(0.03, 0.06, 0.97)
(0.03, 0.06, 0.97)
(-0.02, 0.18, 0.96)
(-0.03, 0.20, 0.95)
(-0.02, 0.19, 0.95)
(-0.01, 0.21, 0.95)
(-0.02, 0.22, 0.95)
(-0.03, 0.22, 0.95)
(-0.04, 0.23, 0.94)
(-0.05, 0.23, 0.94)
(-0.07, 0.27, 0.93)
(-0.05, 0.26, 0.94)
(-0.05, 0.27, 0.93)
(-0.04, 0.25, 0.94)
(-0.04, 0.25, 0.94)
(-0.03, 0.24, 0.94)
(-0.03, 0.25, 0.94)
(-0.03, 0.25, 0.94)
(-0.03, 0.24, 0.94)
(-0.03, 0.25, 0.94)
(-0.03, 0.25, 0.94)
(-0.03, 0.25, 0.94)
(-0.04, 0.26, 0.94)
(-0.04, 0.26, 0.94)
(-0.04, 0.26, 0.94)
(-0.04, 0.27, 0.93)
(-0.04, 0.27, 0.93)
(-0.04, 0.26, 0.94)
(-0.04, 0.26, 0.94)
(-0.04, 0.27, 0.93)
(-0.04, 0.27, 0.93)
(-0.04, 0.26, 0.94)
(-0.04, 0.25, 0.94)
(-0.04, 0.26, 0.94)
(-0.04, 0.26, 0.94)
(-0.04, 0.26, 0.94)
(-0.04, 0.26, 0.94)
(-0.04, 0.26, 0.94)
(-0.03, 0.26, 0.94)
(-0.03, 0.26, 0.94)
(-0.03, 0.26, 0.94)
(-0.04, 0.26, 0.94)
(-0.03, 0.26, 0.94)
(-0.03, 0.26, 0.94)
(-0.03, 0.26, 0.94)
(-0.03, 0.25, 0.94)
(-0.05, 0.27, 0.93)
(-0.06, 0.31, 0.92)
(-0.11, 0.38, 0.89)
(-0.09, 0.38, 0.89)
(-0.10, 0.37, 0.90)
(-0.09, 0.39, 0.89)
(-0.12, 0.40, 0.88)
(-0.13, 0.41, 0.87)
(-0.13, 0.41, 0.87)
(-0.12, 0.40, 0.88)
(-0.11, 0.39, 0.89)
(-0.10, 0.38, 0.89)
(-0.10, 0.36, 0.90)
(-0.10, 0.34, 0.91)
(-0.09, 0.33, 0.91)
(-0.08, 0.33, 0.91)
(-0.09, 0.33, 0.91)
(-0.09, 0.33, 0.91)
(-0.12, 0.39, 0.89)
(-0.12, 0.40, 0.88)
(-0.11, 0.39, 0.89)
(-0.11, 0.39, 0.89)
(-0.10, 0.39, 0.89)
(-0.11, 0.38, 0.89)
(-0.11, 0.40, 0.88)
(-0.11, 0.40, 0.88)
(-0.11, 0.40, 0.88)
(-0.11, 0.39, 0.89)
